(0, 1, 8.097258207527464)
(0, 2, 8.096084438263421)
(0, 3, 8.1)
(0, 4, 8.099729542580091)
(0, 5, 8.092144082654906)
(0, 6, 8.091438875517467)
(0, 7, 8.090882141596568)
(0, 8, 8.091716975189728)
(0, 9, 8.092459560831784)
(0, 10, 8.099242716548556)
(0, 11, 8.097173931549928)
(0, 12, 8.089999999999998)
(0, 13, 8.094391282112749)
(0, 14, 8.095883351520174)
(0, 15, 8.089999999999998)
(0, 16, 8.098508490900812)
(0, 17, 8.1)
(0, 18, 8.1)
(0, 19, 8.096136599643508)
(0, 20, 8.089999999999998)
(0, 21, 8.092190034973305)
(0, 22, 8.099219825041512)
(0, 23, 8.089999999999998)
(0, 24, 8.097059717127525)
(0, 25, 8.089999999999998)
(0, 26, 8.092792689233963)
(0, 27, 8.096606709619666)
(0, 28, 8.096960928523934)
(0, 29, 8.09302274900594)
(0, 30, 8.090625311934671)
(0, 31, 8.089999999999998)
(0, 32, 8.09321628222825)
(0, 33, 8.091996676876015)
(0, 34, 8.092097189053119)
(0, 35, 8.098707110169833)
(0, 36, 8.099282659107777)
(0, 37, 8.097298747487296)
(0, 38, 8.094124869921002)
(0, 39, 8.089999999999998)
(0, 40, 8.09710473241123)
(0, 41, 8.089999999999998)
(0, 42, 8.092808573517562)
(0, 43, 8.091911172048809)
(0, 44, 8.092150837306637)
(0, 45, 8.089999999999998)
(0, 46, 8.092031712057315)
(0, 47, 8.099112682229899)
(0, 48, 8.095093757818425)
(0, 49, 8.092678614497357)
(0, 50, 8.1)
(0, 51, 8.099488263334278)
(0, 52, 8.1)
(0, 53, 8.089999999999998)
(0, 54, 8.09375121756425)
(0, 55, 8.093549046181389)
(0, 56, 8.097028771753935)
(0, 57, 8.099745437947764)
(0, 58, 8.098922206851535)
(0, 59, 8.091293477912378)
(0, 60, 8.095412489019841)
(0, 61, 8.089999999999998)
(0, 62, 8.1)
(0, 63, 8.096459425320392)
(0, 64, 8.0962823869694)
(0, 65, 8.091004359912239)
(0, 66, 8.098228337613856)
(0, 67, 8.09418697348046)
(0, 68, 8.099187650102822)
(0, 69, 8.095221464998122)
(0, 70, 8.097364804310828)
(0, 71, 8.1)
(0, 72, 8.092984062161698)
(0, 73, 8.097156341600018)
(0, 74, 8.093116336660993)
(0, 75, 8.096436769687973)
(0, 76, 8.095562554205047)
(0, 77, 8.093686137228309)
(0, 78, 8.095817960136358)
(0, 79, 8.092943452852758)
(0, 80, 8.098340102530738)
(0, 81, 8.1)
(0, 82, 8.092570329897667)
(0, 83, 8.094257804850667)
(0, 84, 8.089999999999998)
(0, 85, 8.089999999999998)
(0, 86, 8.098263027137296)
(0, 87, 8.09549385964417)
(0, 88, 8.090723280296428)
(0, 89, 8.093206365672058)
(0, 90, 8.09273395605042)
(0, 91, 8.089999999999998)
(0, 92, 8.1)
(0, 93, 8.096876945173998)
(0, 94, 8.093504454778044)
(0, 95, 8.1)
(0, 96, 8.089999999999998)
(0, 97, 8.099024393062217)
(0, 98, 8.093632708099694)
(0, 99, 8.091521159013965)
(0, 100, 8.1)
(0, 101, 8.095546309360092)
(0, 102, 8.09585796647423)
(0, 103, 8.09387212871543)
(0, 104, 8.1)
(0, 105, 8.1)
(0, 106, 8.096364972500824)
(0, 107, 8.096569900543527)
(0, 108, 8.095855691655299)
(0, 109, 8.098233247983998)
(0, 110, 8.1)
(0, 111, 8.094939313984499)
(0, 112, 8.093837788667134)
(0, 113, 8.094882925425248)
(0, 114, 8.089999999999998)
(0, 115, 8.094873942487247)
(0, 116, 8.098263075448717)
(0, 117, 8.093898611045862)
(0, 118, 8.096888755612913)
(0, 119, 8.092781165668889)
(0, 120, 8.099482773235778)
(1, 1, 8.096779995927774)
(1, 2, 8.094255697116534)
(1, 3, 8.094135826157272)
(1, 4, 8.099679355948696)
(1, 5, 8.094348597744975)
(1, 6, 8.09068581897285)
(1, 7, 8.096477818862416)
(1, 8, 8.095879112041498)
(1, 9, 8.090825063102518)
(1, 10, 8.089999999999998)
(1, 11, 8.089999999999998)
(1, 12, 8.094591426831203)
(1, 13, 8.092449205691302)
(1, 14, 8.089999999999998)
(1, 15, 8.096763822448318)
(1, 16, 8.09754958217455)
(1, 17, 8.095931676208524)
(1, 18, 8.091470530666184)
(1, 19, 8.095874521686083)
(1, 20, 8.09917166750798)
(1, 21, 8.097693408723243)
(1, 22, 8.099167497260405)
(1, 23, 8.096206195105147)
(1, 24, 8.090407428010995)
(1, 25, 8.096667052593247)
(1, 26, 8.1)
(1, 27, 8.090709811641355)
(1, 28, 8.091222623217352)
(1, 29, 8.1)
(1, 30, 8.095664017956945)
(1, 31, 8.091041936920151)
(1, 32, 8.093526834256162)
(1, 33, 8.089999999999998)
(1, 34, 8.091937596288743)
(1, 35, 8.095310218178394)
(1, 36, 8.099123254425672)
(1, 37, 8.091288366346895)
